artifact_row_index,source_id,city,district,support,tier,address_text
166156,5980725,mohammedia,quartier du parc,79,SAFE_25,Quartier du Parc à Mohammedia
166161,6036189,marrakech,hivernage,273,SAFE_25,Hivernage à Marrakech
166162,6036195,marrakech,ennakhil palmeraie,469,SAFE_25,Ennakhil (Palmeraie) à Marrakech
166163,6036354,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
166164,6036487,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
166165,6037727,marrakech,hivernage,273,SAFE_25,Hivernage à Marrakech
166166,6037750,marrakech,ennakhil palmeraie,469,SAFE_25,Ennakhil (Palmeraie) à Marrakech
166167,6037751,marrakech,ennakhil palmeraie,469,SAFE_25,Ennakhil (Palmeraie) à Marrakech
166168,6037756,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
166169,6037760,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
166191,6039494,marrakech,agdal,514,SAFE_25,Agdal à Marrakech
166192,6069040,marrakech,hivernage,273,SAFE_25,Hivernage à Marrakech
166197,6090220,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
166209,6142815,casablanca,gauthier,422,SAFE_25,Gauthier à Casablanca
166218,6189102,casablanca,anfa,374,SAFE_25,Anfa à Casablanca
166223,6213405,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
166227,6258975,kenitra,mimosas,57,SAFE_25,Mimosas à Kénitra
166251,6347100,casablanca,gauthier,422,SAFE_25,Gauthier à Casablanca
166255,6352596,casablanca,les princesses,332,SAFE_25,Les princesses à Casablanca
166261,6355827,casablanca,ain borja,88,SAFE_25,Ain Borja à Casablanca
166273,6371889,casablanca,el manar el hank,32,SAFE_25,El Manar - El Hank à Casablanca
166276,6374919,casablanca,maarif extension,351,SAFE_25,Maârif Extension à Casablanca
166289,6694265,marrakech,agdal,514,SAFE_25,Agdal à Marrakech
166308,6726515,tanger,tanger city center,86,SAFE_25,Tanger City Center à Tanger
166311,6744368,marrakech,hivernage,273,SAFE_25,Hivernage à Marrakech
166319,6763882,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
166332,6774556,tanger,malabata,421,SAFE_25,Malabata à Tanger
166333,6774590,tanger,malabata,421,SAFE_25,Malabata à Tanger
166343,6777726,casablanca,ahl loghlam hay assalam,21,SAFE_10,Ahl Loghlam (Hay Assalam) à Casablanca
166344,6777728,casablanca,ahl loghlam hay assalam,21,SAFE_10,Ahl Loghlam (Hay Assalam) à Casablanca
166345,6780642,casablanca,belvedere,301,SAFE_25,Belvédère à Casablanca
166349,6785813,marrakech,ain mezouar,54,SAFE_25,Ain Mezouar à Marrakech
166351,6787919,essaouira,raounak,6,SAFE_5,Raounak à Essaouira
166353,6789989,casablanca,gauthier,422,SAFE_25,Gauthier à Casablanca
166357,6796355,casablanca,ahl loghlam hay assalam,21,SAFE_10,Ahl Loghlam (Hay Assalam) à Casablanca
166360,6803694,casablanca,beausejour,150,SAFE_25,Beauséjour à Casablanca
