city,district,support,city_equals_district,generic_risk,tier
tanger,centre,483,0,1,LOW_OR_RISK
dar bouazza,dar bouazza,478,1,0,LOW_OR_RISK
casablanca,anfa,374,0,0,LOW_OR_RISK
marrakech,marrakech,263,1,0,LOW_OR_RISK
martil,martil,230,1,0,LOW_OR_RISK
berrechid,berrechid,195,1,0,LOW_OR_RISK
tanger,de la plage,188,0,1,LOW_OR_RISK
tanger,administratif,164,0,1,LOW_OR_RISK
casablanca,casablanca,133,1,0,LOW_OR_RISK
saidia,saidia,130,1,0,LOW_OR_RISK
tanger,medina,124,0,1,LOW_OR_RISK
asilah,asilah,110,1,0,LOW_OR_RISK
had soualem,had soualem,103,1,0,LOW_OR_RISK
kenitra,centre,98,0,1,LOW_OR_RISK
el menzeh,el menzeh,91,1,0,LOW_OR_RISK
casablanca,polo,90,0,0,LOW_OR_RISK
tamesna,tamesna,90,1,0,LOW_OR_RISK
sidi rahal,sidi rahal,88,1,0,LOW_OR_RISK
harhoura,harhoura,79,1,0,LOW_OR_RISK
nouaceur,nouaceur,78,1,0,LOW_OR_RISK
el mansouria,el mansouria,76,1,0,LOW_OR_RISK
sidi rahal chatai,sidi rahal chatai,70,1,0,LOW_OR_RISK
errahma,errahma,69,1,0,LOW_OR_RISK
beni mellal,beni mellal,66,1,0,LOW_OR_RISK
ait melloul,ait melloul,62,1,0,LOW_OR_RISK
al hoceima,al hoceima,61,1,0,LOW_OR_RISK
tit mellil,tit mellil,59,1,0,LOW_OR_RISK
k c3 a9nitra,centre,58,0,1,LOW_OR_RISK
deroua,deroua,56,1,0,LOW_OR_RISK
fnideq,fnideq,56,1,0,LOW_OR_RISK
mehdia,mehdia,56,1,0,LOW_OR_RISK
sidi allal el bahraoui,sidi allal el bahraoui,54,1,0,LOW_OR_RISK
tiznit,tiznit,53,1,0,LOW_OR_RISK
b c3 a9ni mellal,b c3 a9ni mellal,52,1,0,LOW_OR_RISK
m diq,m diq,51,1,0,LOW_OR_RISK
azemmour,azemmour,50,1,0,LOW_OR_RISK
azrou,azrou,47,1,0,LOW_OR_RISK
ksar sghir,ksar sghir,46,1,0,LOW_OR_RISK
berkane,berkane,45,1,0,LOW_OR_RISK
chefchaouen,chefchaouen,44,1,0,LOW_OR_RISK
ourika,ourika,44,1,0,LOW_OR_RISK
larache,larache,42,1,0,LOW_OR_RISK
meknes,centre,40,0,1,LOW_OR_RISK
sidi abdallah ghiat,sidi abdallah ghiat,40,1,0,LOW_OR_RISK
sidi bouzid,sidi bouzid,40,1,0,LOW_OR_RISK
ben guerir,ben guerir,39,1,0,LOW_OR_RISK
sidi bouknadel,sidi bouknadel,39,1,0,LOW_OR_RISK
tameslohte,tameslohte,39,1,0,LOW_OR_RISK
tifelt,tifelt,39,1,0,LOW_OR_RISK
bir jdid,bir jdid,37,1,0,LOW_OR_RISK
t c3 a9touan,medina,37,0,1,LOW_OR_RISK
cabo negro,cabo negro,36,1,0,LOW_OR_RISK
khouribga,khouribga,35,1,0,LOW_OR_RISK
ouarzazate,ouarzazate,35,1,0,LOW_OR_RISK
sefrou,sefrou,35,1,0,LOW_OR_RISK
fes,centre,34,0,1,LOW_OR_RISK
agadir,anza,33,0,0,LOW_OR_RISK
ain aouda,ain aouda,33,1,0,LOW_OR_RISK
oulad salah,oulad salah,33,1,0,LOW_OR_RISK
rabat,rabat,33,1,0,LOW_OR_RISK
taghazout,taghazout,33,1,0,LOW_OR_RISK
taza,taza,33,1,0,LOW_OR_RISK
agadir,ville nouvelle,32,0,1,LOW_OR_RISK
marrakech,azli,32,0,0,LOW_OR_RISK
zenata,zenata,32,1,0,LOW_OR_RISK
fes,nouvelle ville,31,0,1,LOW_OR_RISK
ain attig,ain attig,30,1,0,LOW_OR_RISK
gueznaia,gueznaia,30,1,0,LOW_OR_RISK
tassoultante,tassoultante,30,1,0,LOW_OR_RISK
oued laou,oued laou,29,1,0,LOW_OR_RISK
tetouan,medina,29,0,1,LOW_OR_RISK
essaouira,nouvelle ville,28,0,1,LOW_OR_RISK
mediouna,mediouna,28,1,0,LOW_OR_RISK
ain harrouda,ain harrouda,27,1,0,LOW_OR_RISK
sidi kacem,sidi kacem,27,1,0,LOW_OR_RISK
rabat,medina,26,0,1,LOW_OR_RISK
ait ourir,ait ourir,25,1,0,LOW_OR_RISK
mohammedia,wafa,25,0,0,LOW_OR_RISK
meknes,ancienne medina,24,0,1,LOW_OR_RISK
tanger,aida,23,0,0,LOW_OR_RISK
essaouira,essaouira,22,1,0,LOW_OR_RISK
ksar el k c3 a9bir,ksar el k c3 a9bir,22,1,0,LOW_OR_RISK
ras el ma,ras el ma,22,1,0,LOW_OR_RISK
sidi yahya zaer,sidi yahya zaer,22,1,0,LOW_OR_RISK
beni yakhlef,beni yakhlef,21,1,0,LOW_OR_RISK
tahannaout,tahannaout,21,1,0,LOW_OR_RISK
casablanca,port,20,0,0,LOW_OR_RISK
oulad hassoune,oulad hassoune,20,1,0,LOW_OR_RISK
tanger,tanger,20,1,0,LOW_OR_RISK
ouled teima,ouled teima,19,1,0,LOW_OR_RISK
haouzia,haouzia,18,1,0,LOW_OR_RISK
mers el kheir,mers el kheir,18,1,0,LOW_OR_RISK
sidi slimane,sidi slimane,18,1,0,LOW_OR_RISK
tinghir,tinghir,18,1,0,LOW_OR_RISK
essaouira,medina,17,0,1,LOW_OR_RISK
guelmim,guelmim,17,1,0,LOW_OR_RISK
ksar el kebir,ksar el kebir,17,1,0,LOW_OR_RISK
oualidia,oualidia,17,1,0,LOW_OR_RISK
essaouira,borj,16,0,0,LOW_OR_RISK
chtouka,chtouka,15,1,0,LOW_OR_RISK
el kelaa des sraghna,el kelaa des sraghna,15,1,0,LOW_OR_RISK
mirleft,mirleft,15,1,0,LOW_OR_RISK
sal c3 a9,medina,15,0,1,LOW_OR_RISK
sidi hajjaj oued hassar,sidi hajjaj oued hassar,15,1,0,LOW_OR_RISK
biougra,biougra,14,1,0,LOW_OR_RISK
ouislane,ouislane,14,1,0,LOW_OR_RISK
youssoufia,youssoufia,14,1,0,LOW_OR_RISK
aourir,aourir,13,1,0,LOW_OR_RISK
bourrous,bourrous,13,1,0,LOW_OR_RISK
khenifra,khenifra,13,1,0,LOW_OR_RISK
oujda,cgi,13,0,0,LOW_OR_RISK
selouane,selouane,13,1,0,LOW_OR_RISK
tetouan,tetouan,13,1,0,LOW_OR_RISK
dcheira el jihadia,dcheira el jihadia,12,1,0,LOW_OR_RISK
laayoune,laayoune,12,1,0,LOW_OR_RISK
ahfir,ahfir,11,1,0,LOW_OR_RISK
ait faska,ait faska,11,1,0,LOW_OR_RISK
amizmiz,amizmiz,11,1,0,LOW_OR_RISK
ghmate,ghmate,11,1,0,LOW_OR_RISK
moulay bousselham,moulay bousselham,11,1,0,LOW_OR_RISK
sale,medina,11,0,1,LOW_OR_RISK
benslimane,administratif,10,0,1,LOW_OR_RISK
el hajeb,el hajeb,10,1,0,LOW_OR_RISK
guercif,guercif,10,1,0,LOW_OR_RISK
imouzzer kendar,imouzzer kendar,10,1,0,LOW_OR_RISK
inzegan,inzegan,10,1,0,LOW_OR_RISK
taounate,taounate,10,1,0,LOW_OR_RISK
anjra,anjra,9,1,0,LOW_OR_RISK
chichaoua,chichaoua,9,1,0,LOW_OR_RISK
el kel c3 a2a des sraghna,el kel c3 a2a des sraghna,9,1,0,LOW_OR_RISK
el majjatia ouled taleb,el majjatia ouled taleb,9,1,0,LOW_OR_RISK
harbil,harbil,9,1,0,LOW_OR_RISK
kenitra,kenitra,9,1,0,LOW_OR_RISK
oujda,najd,9,0,0,LOW_OR_RISK
sidi bibi,sidi bibi,9,1,0,LOW_OR_RISK
tetouan,bled,9,0,0,LOW_OR_RISK
drargua,drargua,8,1,0,LOW_OR_RISK
khemisset,cgi,8,0,0,LOW_OR_RISK
malloussa,malloussa,8,1,0,LOW_OR_RISK
midelt,midelt,8,1,0,LOW_OR_RISK
moulay yaacoub,moulay yaacoub,8,1,0,LOW_OR_RISK
ouahat sidi brahim,ouahat sidi brahim,8,1,0,LOW_OR_RISK
sidi bou othmane,sidi bou othmane,8,1,0,LOW_OR_RISK
tnine aglou,tnine aglou,8,1,0,LOW_OR_RISK
agafay,agafay,7,1,0,LOW_OR_RISK
al aaroui,al aaroui,7,1,0,LOW_OR_RISK
azilal,azilal,7,1,0,LOW_OR_RISK
boufkrane,boufkrane,7,1,0,LOW_OR_RISK
boukhalef,boukhalef,7,1,0,LOW_OR_RISK
bouskoura,bouskoura,7,1,0,LOW_OR_RISK
eddir,eddir,7,1,0,LOW_OR_RISK
errachidia,errachidia,7,1,0,LOW_OR_RISK
f c3 a8s,nouvelle ville,7,0,1,LOW_OR_RISK
fquih ben saleh,fquih ben saleh,7,1,0,LOW_OR_RISK
moulay abdallah,moulay abdallah,7,1,0,LOW_OR_RISK
rommani,rommani,7,1,0,LOW_OR_RISK
sidi ali ben hamdouche,sidi ali ben hamdouche,7,1,0,LOW_OR_RISK
sidi ifni,sidi ifni,7,1,0,LOW_OR_RISK
sidi moussa lhamri,sidi moussa lhamri,7,1,0,LOW_OR_RISK
tamazouzte,tamazouzte,7,1,0,LOW_OR_RISK
agadir melloul,agadir melloul,6,1,0,LOW_OR_RISK
ain taoujdate,ain taoujdate,6,1,0,LOW_OR_RISK
azla,azla,6,1,0,LOW_OR_RISK
ben maachou,ben maachou,6,1,0,LOW_OR_RISK
casablanca,ancienne medina,6,0,1,LOW_OR_RISK
el gara,el gara,6,1,0,LOW_OR_RISK
imzouren,imzouren,6,1,0,LOW_OR_RISK
laaouama,laaouama,6,1,0,LOW_OR_RISK
lamaachate,lamaachate,6,1,0,LOW_OR_RISK
lamharza essahel,lamharza essahel,6,1,0,LOW_OR_RISK
safi,ville nouvelle,6,0,1,LOW_OR_RISK
sahel oulad h riz,sahel oulad h riz,6,1,0,LOW_OR_RISK
sale,sale,6,1,0,LOW_OR_RISK
sidi ghanem,sidi ghanem,6,1,0,LOW_OR_RISK
taghzout,taghzout,6,1,0,LOW_OR_RISK
tetouan,mdiq,6,0,0,LOW_OR_RISK
agadir,port,5,0,0,LOW_OR_RISK
ait kamra,ait kamra,5,1,0,LOW_OR_RISK
ait malek,ait malek,5,1,0,LOW_OR_RISK
bin el ouidane,bin el ouidane,5,1,0,LOW_OR_RISK
bni ansar,bni ansar,5,1,0,LOW_OR_RISK
bouznika,bouznika,5,1,0,LOW_OR_RISK
el argoub,el argoub,5,1,0,LOW_OR_RISK
el beddouza,el beddouza,5,1,0,LOW_OR_RISK
itzer,itzer,5,1,0,LOW_OR_RISK
lalla takarkoust,lalla takarkoust,5,1,0,LOW_OR_RISK
loudaya,loudaya,5,1,0,LOW_OR_RISK
oulad dahou,oulad dahou,5,1,0,LOW_OR_RISK
oulad hamdane,oulad hamdane,5,1,0,LOW_OR_RISK
sidi moussa ben ali,sidi moussa ben ali,5,1,0,LOW_OR_RISK
t c3 a9touan,bled,5,0,0,LOW_OR_RISK
zaio,zaio,5,1,0,LOW_OR_RISK
agadir,agadir oufella,4,0,0,LOW_OR_RISK
agourai,agourai,4,1,0,LOW_OR_RISK
al manzla,al manzla,4,1,0,LOW_OR_RISK
asni,asni,4,1,0,LOW_OR_RISK
benslimane,benslimane,4,1,0,LOW_OR_RISK
benslimane,quods,4,0,0,LOW_OR_RISK
bir gandouz,bir gandouz,4,1,0,LOW_OR_RISK
casablanca,derb chorfa,4,0,0,LOW_OR_RISK
casablanca,derb douam,4,0,0,LOW_OR_RISK
casablanca,derb moulay cherif,4,0,0,LOW_OR_RISK
casablanca,finance city,4,0,0,LOW_OR_RISK
casablanca,hay al fath,4,0,0,LOW_OR_RISK
casablanca,hay almassira 2,4,0,0,LOW_OR_RISK
casablanca,hay m barka,4,0,0,LOW_OR_RISK
casablanca,hay tarik,4,0,0,LOW_OR_RISK
