artifact_row_index,source_id,district
166144,5605115,route de tahanaout
166145,5643459,malabata
166149,5785401,manar
166152,5834047,medina
166155,5959422,liberte
166158,6028403,essaouira
166159,6028422,essaouira
166160,6029005,californie
166170,6037856,essaouira
166171,6037857,essaouira
166172,6037860,essaouira
166173,6037878,route d agadir
166174,6037880,essaouira
166175,6037890,route de safi
166176,6037908,idaougard
166177,6037910,essaouira
166178,6037911,lahrarta
166179,6037984,route de marrakech
166180,6038028,sidi kaouki
166181,6038036,essaouira
166182,6038037,essaouira
166183,6038039,essaouira
166184,6038056,route de safi
166185,6038060,essaouira
166186,6038078,essaouira
166187,6038079,essaouira
166189,6038103,essaouira
166190,6039493,marrakech
166193,6073015,ain diab
166196,6088079,ain chock
166198,6090874,safi
166199,6107295,ennakhil palmeraie
166200,6121352,ahl loghlam hay assalam
166201,6121353,ahl loghlam hay assalam
166204,6130161,laymoune
166205,6135919,founti
166206,6137650,ounagha
166208,6141401,belvedere
166211,6146870,centre
166212,6149331,bouskoura ville
166213,6160197,ain diab
166217,6187655,tanger medina
166220,6202139,route de marrakech
166222,6203130,bouskoura ville
166224,6224149,kenitra
166225,6246176,kennaria
166226,6250989,hay targa
166228,6269816,derb chtouka
166229,6272077,route de fez
166230,6272086,route de l ourika
166233,6283720,route de l ourika
166234,6285798,plage oued cherrat
166235,6285890,route de marrakech
166236,6288689,assanaouber
166237,6298156,amelkis
166238,6301286,longchamps hay al hanaa
166247,6335983,plage oued cherrat
166248,6336746,hay targa
166249,6338891,anfa superieur
166259,6355820,ain borja
166260,6355825,ain borja
166262,6355914,californie
166263,6357490,souissi
166266,6361263,ain borja
166275,6373312,racine extension
166277,6376916,route de ouarzazate
166278,6644005,tanger medina
166280,6655470,racine
166283,6659099,lakhiaita
166291,6697265,bouskoura ville
166294,6700059,ahl loghlam hay assalam
166297,6705796,ennakhil palmeraie
166299,6706604,californie
166302,6712712,anfa superieur
166307,6717837,route de l ourika
166309,6739518,riad isli
166310,6740320,hay targa
166312,6745915,anfa superieur
166314,6753373,route d agadir
166316,6760921,californie
166318,6762580,gueliz
166320,6764603,longchamps hay al hanaa
166322,6772563,ben guerir
166323,6772571,ben guerir
166324,6772572,ben guerir
166325,6772587,ben guerir
166328,6772876,anfa superieur
166330,6772927,agdal
166334,6774904,hay salam
166337,6775272,de la plage
166338,6775347,de la plage
166339,6775634,illigh
166340,6776265,beausejour
166341,6776413,route de ouarzazate
166346,6780805,alsace lorraine
166348,6781939,route de marrakech
166352,6789329,taghazout
166354,6790933,mimosas
166355,6791830,sidi youssef
166356,6795538,nouvelle ville
166359,6798824,racine
166361,6805714,riyad
166363,6806405,ennakhil palmeraie
166366,6811677,anfa
166368,6811747,anfa superieur
166369,6815966,azemmour
166376,6824240,raounak
166377,6825963,achakar
166383,6836355,bouskoura ville
166396,6839823,cil hay salam
166397,6842072,route de ouarzazate
166398,6842116,bouskoura ville
166400,6843899,agdal
166401,6844970,racine
166403,6844972,anfa
166404,6844976,longchamps hay al hanaa
166406,6844985,longchamps hay al hanaa
166407,6845321,anfa
166409,6845334,californie
166412,6845349,ain diab
166413,6845364,ain diab
166414,6845368,ain diab
166415,6845377,cil hay salam
166416,6845379,cil hay salam
166417,6845495,agdal
166421,6847463,souissi
166422,6848331,mirleft
166429,6857770,dar bouazza
166431,6868679,anfa
166434,6872128,tanger city center
166435,6872130,tanger city center
166440,6875948,route de fez
166441,6880840,anfa
166442,6880843,longchamps hay al hanaa
166443,6880844,longchamps hay al hanaa
166444,6880845,longchamps hay al hanaa
166445,6880849,cil hay salam
166446,6880851,longchamps hay al hanaa
166448,6880938,cil hay salam
166450,6880960,ain diab
166452,6880989,ain diab
166453,6881001,ain diab
166457,6881022,el manar el hank
166458,6881027,oasis
166459,6881032,oasis
166467,6881371,longchamps hay al hanaa
