artifact_row_index,source_id,city,district,support,tier
234771,8347297,mohammedia,la colline,22,SAFE_10
236921,8371270,marrakech,massira 2,22,SAFE_10
239354,8391780,marrakech,sidi abbad,22,SAFE_10
213250,8134843,nador,selouane,21,SAFE_10
223895,8258696,oujda,lazaret,21,SAFE_10
236242,8365058,oujda,lazaret,21,SAFE_10
237124,8372992,oujda,lazaret,21,SAFE_10
241323,8404083,marrakech,massira 3,21,SAFE_10
231129,8292294,essaouira,ghazoua,20,SAFE_10
231597,8299740,essaouira,ghazoua,20,SAFE_10
232378,8313540,essaouira,ghazoua,20,SAFE_10
233653,8332079,oujda,agdal,20,SAFE_10
237809,8379767,oujda,agdal,20,SAFE_10
239894,8396009,oujda,agdal,20,SAFE_10
240306,8398544,oujda,agdal,20,SAFE_10
240383,8398970,oujda,agdal,20,SAFE_10
240499,8399652,essaouira,ghazoua,20,SAFE_10
240651,8400376,essaouira,ghazoua,20,SAFE_10
241774,8406180,essaouira,ghazoua,20,SAFE_10
242678,8409557,marrakech,el moukef,20,SAFE_10
210718,8083399,tanger,mediouna,19,SAFE_10
227810,8278550,tanger,mediouna,19,SAFE_10
228456,8282018,casablanca,hay albaraka,19,SAFE_10
234663,8345990,tanger,mediouna,19,SAFE_10
235818,8360645,kenitra,ismalia,19,SAFE_10
237778,8379485,tanger,jirrari,19,SAFE_10
239360,8391843,casablanca,hay albaraka,19,SAFE_10
241401,8404430,tanger,mediouna,19,SAFE_10
223471,8256024,agadir,talborjt,18,SAFE_10
235182,8352758,agadir,talborjt,18,SAFE_10
237165,8373369,casablanca,hay lmkansa,18,SAFE_10
238982,8389093,agadir,ben serguaou,18,SAFE_10
241204,8403542,el jadida,sidi moussa,18,SAFE_10
212755,8126799,f c3 a8s,fes city center,17,SAFE_10
240532,8399797,t c3 a9touan,taboula,17,SAFE_10
214194,8149875,marrakech,hay al massar,16,SAFE_10
236264,8365307,marrakech,hay al massar,16,SAFE_10
239576,8393444,marrakech,hay al massar,16,SAFE_10
239921,8396195,marrakech,hay al massar,16,SAFE_10
242048,8407319,casablanca,bournazil,16,SAFE_10
214094,8147987,k c3 a9nitra,bir rami est,15,SAFE_10
214702,8157847,nador,hay el matar,15,SAFE_10
222524,8248498,rabat,el youssoufia,15,SAFE_10
222674,8249744,nador,hay el matar,15,SAFE_10
229995,8288500,sal c3 a9,bettana,15,SAFE_10
230995,8291748,oujda,boustane,15,SAFE_10
231624,8300083,k c3 a9nitra,bir rami est,15,SAFE_10
232834,8320531,oujda,boustane,15,SAFE_10
233027,8323597,f c3 a8s,zouagha bas,15,SAFE_10
233468,8329455,k c3 a9nitra,bir rami est,15,SAFE_10
233756,8333865,k c3 a9nitra,bir rami est,15,SAFE_10
235334,8354945,agadir,charaf,15,SAFE_10
235497,8357064,sal c3 a9,bettana,15,SAFE_10
236016,8362886,k c3 a9nitra,bir rami est,15,SAFE_10
236360,8366267,k c3 a9nitra,bir rami est,15,SAFE_10
236707,8369306,k c3 a9nitra,bir rami est,15,SAFE_10
237680,8378455,skhirat,imarat,15,SAFE_10
237835,8379987,agadir,charaf,15,SAFE_10
238860,8388192,tanger,mister khouch,15,SAFE_10
239498,8392889,k c3 a9nitra,bir rami est,15,SAFE_10
239578,8393456,agadir,extension dakhla,15,SAFE_10
240436,8399328,safi,sidi bouzid,15,SAFE_10
241205,8403543,agadir,charaf,15,SAFE_10
242286,8408213,agadir,charaf,15,SAFE_10
211901,8111477,marrakech,sidi ghanem,14,SAFE_10
214406,8152991,marrakech,sidi ghanem,14,SAFE_10
214407,8152992,marrakech,sidi ghanem,14,SAFE_10
214596,8156002,marrakech,sidi ghanem,14,SAFE_10
216912,8192203,f c3 a8s,route immouzer,14,SAFE_10
222442,8247882,marrakech,sidi ghanem,14,SAFE_10
228725,8283871,marrakech,sidi ghanem,14,SAFE_10
232172,8309839,marrakech,sidi ghanem,14,SAFE_10
232931,8322227,marrakech,jawhar,14,SAFE_10
235067,8351213,marrakech,sidi ghanem,14,SAFE_10
237456,8376270,marrakech,sidi ghanem,14,SAFE_10
238784,8387392,marrakech,sidi ghanem,14,SAFE_10
239807,8395287,marrakech,sidi ghanem,14,SAFE_10
242070,8407373,marrakech,sidi ghanem,14,SAFE_10
242576,8409239,marrakech,sidi ghanem,14,SAFE_10
231146,8292374,essaouira,lahrarta,13,SAFE_10
236632,8368599,essaouira,lahrarta,13,SAFE_10
238545,8385601,agadir,amicales,13,SAFE_10
238654,8386518,essaouira,route d agadir,13,SAFE_10
240062,8397087,essaouira,route d agadir,13,SAFE_10
240952,8402208,temara,massira 3,13,SAFE_10
241456,8404662,tanger,el majd,13,SAFE_10
213843,8144260,k c3 a9nitra,mimosas,12,SAFE_10
227700,8277969,k c3 a9nitra,mimosas,12,SAFE_10
232883,8321269,tanger,bir el ghazi,12,SAFE_10
234124,8338905,marrakech,bab ighli,12,SAFE_10
236538,8367878,el jadida,plateau,12,SAFE_10
236866,8370789,marrakech,bab ighli,12,SAFE_10
236872,8370821,k c3 a9nitra,mimosas,12,SAFE_10
237111,8372935,oujda,les iris,12,SAFE_10
238141,8382648,el jadida,plateau,12,SAFE_10
240144,8397555,k c3 a9nitra,mimosas,12,SAFE_10
241396,8404411,k c3 a9nitra,mimosas,12,SAFE_10
219244,8220147,tanger,al mandar al jamil,11,SAFE_10
220141,8228408,mohammedia,quartier du soleil,11,SAFE_10
222643,8249459,nador,aarid,11,SAFE_10
222753,8250393,nador,aarid,11,SAFE_10
225866,8267358,f c3 a8s,hay al azhar,11,SAFE_10
